V,I,G,P,fault_type
142.44583,9.79445,843.61102,1395.1785596435,1
138.99154,9.83178,843.70491,1366.5342431412,1
141.9442,9.89968,843.54118,1405.202157856,1
140.76464,9.85852,843.13305,1387.7310187328,1
137.68535,9.8356,843.01084,1354.21802846,1
136.23147,9.86961,843.4688,1344.5514786267,1
138.62925,9.89979,843.27846,1372.4004628575,1
141.09454,9.88525,843.09068,1394.754801535,1
138.68138,9.86029,843.33403,1367.4386244002,1
139.53923,9.8741,843.16434,1377.824310943,1
138.53546,9.91994,843.15838,1374.2634510724,1
137.47636,9.87281,842.95101,1357.2779817716,1
140.28072,9.91597,843.67957,1391.0194110984,1
137.82504,9.89062,843.67915,1363.1750971248,1
142.3566,9.87807,843.49158,1406.208459762,1
