V,I,G,P,no_module_fault,fault,partial_shading
140.15221,9.93679,852.59665,1392.6630788059,0,0,0
139.03542,9.91661,852.55386,1378.7600363262,0,0,0
139.95426,9.96176,852.41185,1394.1907490976,0,0,0
138.8684,9.9652,852.58132,1383.85137968,0,0,0
140.64281,9.92806,852.46635,1396.3102562486,0,0,0
139.26612,9.93898,852.74547,1384.1631813576,0,0,0
140.14892,9.96833,853.03289,1397.0506837036,0,0,0
140.78803,9.95058,852.73483,1400.9225555574,0,0,0
143.30616,9.91824,852.39546,1421.3448883584,0,0,0
139.83477,9.92274,852.9192,1387.5440656698,0,0,0
137.81345,9.93958,852.49041,1369.807811351,0,0,0
138.06915,9.92837,852.61134,1370.8016067855,0,0,0
138.47558,9.94001,852.58494,1376.4486499558,0,0,0
141.4207,9.90666,852.69203,1401.006791862,0,0,0
143.1936,9.91276,852.64413,1419.443790336,0,0,0
137.85005,9.94442,852.38864,1370.838794221,0,0,0
141.23975,9.92878,852.56344,1402.338405005,0,0,0
139.19324,9.87847,852.65946,1375.0162455428,0,0,0
137.89008,9.94485,852.5347,1371.296162088,0,0,0
142.35812,9.9732,852.62114,1419.766002384,0,0,0
139.85025,9.91598,852.99819,1386.752281995,0,0,0
136.47047,9.95557,852.90579,1358.6413170179,0,0,0
141.73045,9.94918,853.23175,1410.101758531,0,0,0
139.0419,9.91827,852.99713,1379.055105513,0,0,0
139.13179,9.95073,853.01267,1384.4628767067,0,0,0
138.87938,9.96104,852.88471,1383.3830593552,0,0,0
138.14786,9.93618,852.9703,1372.6620035748,0,0,0
139.33212,9.92868,852.93304,1383.3840332016,0,0,0
138.73928,9.8934,852.95667,1372.603192752,0,0,0
136.9267,9.92622,853.12593,1359.164548074,0,0,0
140.79957,9.9022,852.48679,1394.225502054,0,0,0
139.35029,9.93669,852.4704,1384.6806331401,0,0,0
137.03451,9.93953,852.38162,1362.0586231803,0,0,0
