V,I,G,P,no_module_fault,fault,partial_shading
137.3931,9.71917,832.8702,1335.346895727,0,0,0
139.30671,9.73135,832.64814,1355.6423523585,0,0,0
137.92111,9.78175,832.62301,1349.1098177425,0,0,0
137.33758,9.80306,832.64537,1346.3285369948,0,0,0
140.12524,9.72177,832.69838,1362.2653544748,0,0,0
140.61741,9.69347,832.67411,1363.0706453127,0,0,0
139.90932,9.77274,832.4991,1367.2974079368,0,0,0
136.87983,9.7841,832.83975,1339.245944703,0,0,0
138.41697,9.6983,832.94791,1342.409300151,0,0,0
141.05274,9.69285,832.57511,1367.203050909,0,0,0
138.52468,9.79496,832.96962,1356.8436996128,0,0,0
137.66444,9.77305,832.62323,1345.401455342,0,0,0
138.63324,9.71242,832.735,1346.4642528408,0,0,0
140.18279,9.80073,833.18785,1373.8936754367,0,0,0
136.7003,9.83231,832.78333,1344.079726693,0,0,0
136.41671,9.84216,832.64707,1342.6350864936,0,0,0
139.0791,9.85141,833.05798,1370.125236531,0,0,0
139.54151,9.80708,832.62003,1368.4947518908,0,0,0
141.80202,9.8332,832.93577,1394.367623064,0,0,0
137.02145,9.88135,832.75331,1353.9569049575,0,0,0
136.53125,9.82382,832.86509,1341.258424375,0,0,0
137.24344,9.82413,832.89489,1348.2973962072,0,0,0
139.76365,9.83811,833.16699,1375.0101627015,0,0,0
137.661,9.83173,832.61812,1353.44578353,0,0,0
135.24845,9.84506,832.58448,1331.529105157,0,0,0
139.03572,9.83865,832.66198,1367.923786578,0,0,0
137.15937,9.83009,832.38541,1348.2889514433,0,0,0
136.22352,9.81283,832.74182,1336.7382437616,0,0,0
137.18361,9.83186,832.56106,1348.7700478146,0,0,0
135.77053,9.84059,832.4331,1336.0621198127,0,0,0
139.84337,9.83249,832.83187,1375.0085370913,0,0,0
136.5271,9.83523,832.45439,1342.775429733,0,0,0
138.3205,9.82632,832.66687,1359.18149556,0,0,0
139.63135,9.86286,832.13951,1377.164456661,0,0,0
136.54831,9.85047,832.01858,1345.0650312057,0,0,0
134.64806,9.82283,832.18209,1322.6250032098,0,0,0
136.57058,9.83716,832.1955,1343.4666467528,0,0,0
135.82195,9.87244,832.24745,1340.894052058,0,0,0
136.5352,9.84886,832.17655,1344.716069872,0,0,0
139.3553,9.83559,832.27066,1370.641595127,0,0,0
137.85541,9.854,832.2334,1358.42721014,0,0,0
137.22294,9.85781,832.20572,1352.7176701614,0,0,0
138.68796,9.83784,832.15271,1364.3899604064,0,0,0
